,0,1,2,Latitude,Longitude
0,羽後新町郵便局,https://map.japanpost.jp/p/search/dtl/300186243000/?&cond2=1&cond200=1&&his=sa2,012-1104 秋田県雄勝郡羽後町堀内二本杉５４−３,39.2352033,140.3969478
1,羽後新町郵便局,https://map.japanpost.jp/p/search/dtl/300186243000/?&cond2=1&cond200=1&&his=sa2,012-1104 秋田県雄勝郡羽後町堀内二本杉５４−３,39.2352033,140.3969478
2,仙道郵便局,https://map.japanpost.jp/p/search/dtl/300186179000/?&cond2=1&cond200=1&&his=sa2,012-1352 秋田県雄勝郡羽後町中仙道堀内６６−８,39.1639639,140.3170164
3,田代郵便局,https://map.japanpost.jp/p/search/dtl/300186079000/?&cond2=1&cond200=1&&his=sa2,012-1299 秋田県雄勝郡羽後町田代梺７１−２,39.20529,140.3122211
4,新成簡易郵便局,https://map.japanpost.jp/p/search/dtl/300186705000/?&cond2=1&cond200=1&&his=sa2,012-1115 秋田県雄勝郡羽後町足田古堤下２９−３,39.2229736,140.4111467
5,西馬音内郵便局,https://map.japanpost.jp/p/search/dtl/300186043000/?&cond2=1&cond200=1&&his=sa2,012-1199 秋田県雄勝郡羽後町西馬音内宮廻６３,39.1999261,140.4008675
6,三輪郵便局,https://map.japanpost.jp/p/search/dtl/300186174000/?&cond2=1&cond200=1&&his=sa2,012-1123 秋田県雄勝郡羽後町貝沢拾三本塚３−３,39.1949603,140.4385475
7,元西郵便局,https://map.japanpost.jp/p/search/dtl/300186266000/?&cond2=1&cond200=1&&his=sa2,012-1100 秋田県雄勝郡羽後町南元西１−３,39.1925475,140.3798461
