,0,1,2,Latitude,Longitude
0,岩手西山郵便局,https://map.japanpost.jp/p/search/dtl/300183194000/?&cond2=1&cond200=1&&his=sa2,020-0585 岩手県岩手郡雫石町長山中上８０−１０,39.7251214,140.9669744
1,岩手西山郵便局,https://map.japanpost.jp/p/search/dtl/300183194000/?&cond2=1&cond200=1&&his=sa2,020-0585 岩手県岩手郡雫石町長山中上８０−１０,39.7251214,140.9669744
2,鴬宿温泉郵便局,https://map.japanpost.jp/p/search/dtl/300183285000/?&cond2=1&cond200=1&&his=sa2,020-0574 岩手県岩手郡雫石町鴬宿６−２５−９,39.6369322,140.9237467
3,御明神郵便局,https://map.japanpost.jp/p/search/dtl/300183238000/?&cond2=1&cond200=1&&his=sa2,020-0583 岩手県岩手郡雫石町上野片子１−１０,39.6919858,140.9432181
4,御所郵便局,https://map.japanpost.jp/p/search/dtl/300183218000/?&cond2=1&cond200=1&&his=sa2,020-0572 岩手県岩手郡雫石町西安庭３１−１−４,39.6628692,140.9685589
5,雫石郵便局,https://map.japanpost.jp/p/search/dtl/300183023000/?&cond2=1&cond200=1&&his=sa2,020-0599 岩手県岩手郡雫石町上町東１８,39.6948128,140.9714836
6,西根簡易郵便局,https://map.japanpost.jp/p/search/dtl/300183798000/?&cond2=1&cond200=1&&his=sa2,020-0584 岩手県岩手郡雫石町西根大宮１３６−２,39.7391053,140.9530803
