,0,1,2,Latitude,Longitude
0,当別郵便局,https://map.japanpost.jp/p/search/dtl/300190034000/?&cond2=1&cond200=1&&his=sa2,061-0299 北海道石狩郡当別町弥生５１−４,43.2186944,141.5170094
1,当別郵便局,https://map.japanpost.jp/p/search/dtl/300190034000/?&cond2=1&cond200=1&&his=sa2,061-0299 北海道石狩郡当別町弥生５１−４,43.2186944,141.5170094
2,中小屋郵便局,https://map.japanpost.jp/p/search/dtl/300190223000/?&cond2=1&cond200=1&&his=sa2,061-0211 北海道石狩郡当別町中小屋１７０３−８,43.3068986,141.6032583
3,太美郵便局,https://map.japanpost.jp/p/search/dtl/300190168000/?&cond2=1&cond200=1&&his=sa2,061-3799 北海道石狩郡当別町太美町１４８０−５８,43.1925144,141.4471772
4,弁華別郵便局,https://map.japanpost.jp/p/search/dtl/300190216000/?&cond2=1&cond200=1&&his=sa2,061-0208 北海道石狩郡当別町弁華別１５７−３３,43.2644758,141.5290833
