,0,1,2,Latitude,Longitude
0,青苗郵便局,https://map.japanpost.jp/p/search/dtl/300195010000/?&cond2=1&cond200=1&&his=sa2,043-1521 北海道奥尻郡奥尻町青苗２７４−２４,42.0633047,139.4497775
1,青苗郵便局,https://map.japanpost.jp/p/search/dtl/300195010000/?&cond2=1&cond200=1&&his=sa2,043-1521 北海道奥尻郡奥尻町青苗２７４−２４,42.0633047,139.4497775
2,奥尻郵便局,https://map.japanpost.jp/p/search/dtl/300195003000/?&cond2=1&cond200=1&&his=sa2,043-1499 北海道奥尻郡奥尻町奥尻８００,42.1719808,139.5149967
3,松江簡易郵便局,https://map.japanpost.jp/p/search/dtl/300195701000/?&cond2=1&cond200=1&&his=sa2,043-1523 北海道奥尻郡奥尻町松江２２３,42.0766008,139.4869264
4,宮津簡易郵便局,https://map.japanpost.jp/p/search/dtl/300195703000/?&cond2=1&cond200=1&&his=sa2,043-1403 北海道奥尻郡奥尻町球浦１４２−１,42.1991758,139.5357319
