,0,1,2,Latitude,Longitude
0,下頓別郵便局,https://map.japanpost.jp/p/search/dtl/300199070000/?&cond2=1&cond200=1&&his=sa2,098-5752 北海道枝幸郡浜頓別町下頓別,45.0471044,142.3133433
1,下頓別郵便局,https://map.japanpost.jp/p/search/dtl/300199070000/?&cond2=1&cond200=1&&his=sa2,098-5752 北海道枝幸郡浜頓別町下頓別,45.0471044,142.3133433
2,頓別郵便局,https://map.japanpost.jp/p/search/dtl/300199039000/?&cond2=1&cond200=1&&his=sa2,098-5701 北海道枝幸郡浜頓別町頓別,45.1304903,142.3940261
3,浜頓別郵便局,https://map.japanpost.jp/p/search/dtl/300199069000/?&cond2=1&cond200=1&&his=sa2,098-5799 北海道枝幸郡浜頓別町南一条２−１,45.1242797,142.3635064
