,0,1,2,Latitude,Longitude
0,一関郵便局,https://map.japanpost.jp/p/search/dtl/300183006000/?&cond2=1&cond200=1&&his=sa2,021-8799 岩手県一関市大手町６−１,38.9301556,141.1357811
1,一関郵便局,https://map.japanpost.jp/p/search/dtl/300183006000/?&cond2=1&cond200=1&&his=sa2,021-8799 岩手県一関市大手町６−１,38.9301556,141.1357811
2,一関駅前郵便局,https://map.japanpost.jp/p/search/dtl/300183272000/?&cond2=1&cond200=1&&his=sa2,021-0867 岩手県一関市駅前３１−２,38.9256425,141.1362928
3,一関渋民簡易郵便局,https://map.japanpost.jp/p/search/dtl/300183723000/?&cond2=1&cond200=1&&his=sa2,029-0521 岩手県一関市大東町渋民小林２４−６,39.0185583,141.3426894
4,一関田村町郵便局,https://map.japanpost.jp/p/search/dtl/300183203000/?&cond2=1&cond200=1&&his=sa2,021-0885 岩手県一関市田村町２−１,38.9281506,141.1319686
5,一関台町郵便局,https://map.japanpost.jp/p/search/dtl/300183302000/?&cond2=1&cond200=1&&his=sa2,021-0872 岩手県一関市宮坂町８−９,38.9203089,141.1319936
6,一関中央町郵便局,https://map.japanpost.jp/p/search/dtl/300183153000/?&cond2=1&cond200=1&&his=sa2,021-0021 岩手県一関市中央町２−８−７,38.9351692,141.1295042
7,一関泥田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300183818000/?&cond2=1&cond200=1&&his=sa2,021-0055 岩手県一関市山目泥田１５−４,38.9379125,141.1146514
8,岩手関が丘簡易郵便局,https://map.japanpost.jp/p/search/dtl/300183816000/?&cond2=1&cond200=1&&his=sa2,021-0851 岩手県一関市関が丘２８−２,38.9191597,141.1441056
9,薄衣矢作郵便局,https://map.japanpost.jp/p/search/dtl/300183146000/?&cond2=1&cond200=1&&his=sa2,029-0202 岩手県一関市川崎町薄衣須崎８２−４,38.9007931,141.2823522
10,薄衣郵便局,https://map.japanpost.jp/p/search/dtl/300183031000/?&cond2=1&cond200=1&&his=sa2,029-0299 岩手県一関市川崎町薄衣法道地２１−７,38.8998956,141.2710114
11,大原郵便局,https://map.japanpost.jp/p/search/dtl/300183034000/?&cond2=1&cond200=1&&his=sa2,029-0711 岩手県一関市大東町大原一六６３,39.0166319,141.4020958
12,興田郵便局,https://map.japanpost.jp/p/search/dtl/300183088000/?&cond2=1&cond200=1&&his=sa2,029-0602 岩手県一関市大東町鳥海細田４−１,39.0467083,141.3662569
13,奥玉郵便局,https://map.japanpost.jp/p/search/dtl/300183168000/?&cond2=1&cond200=1&&his=sa2,029-1111 岩手県一関市千厩町奥玉中日向２３６−４,38.9583044,141.3752772
14,金沢郵便局,https://map.japanpost.jp/p/search/dtl/300183094000/?&cond2=1&cond200=1&&his=sa2,029-3102 岩手県一関市花泉町金沢北町１,38.8482547,141.1719342
15,門崎郵便局,https://map.japanpost.jp/p/search/dtl/300183279000/?&cond2=1&cond200=1&&his=sa2,029-0201 岩手県一関市川崎町門崎渡戸１７３−２,38.9163794,141.2530778
16,黄海郵便局,https://map.japanpost.jp/p/search/dtl/300183101000/?&cond2=1&cond200=1&&his=sa2,029-3311 岩手県一関市藤沢町黄海町裏３０−６,38.8495128,141.2964214
