,0,1,2,Latitude,Longitude
0,川口郵便局,https://map.japanpost.jp/p/search/dtl/300182053000/?&cond2=1&cond200=1&&his=sa2,968-8799 福島県大沼郡金山町川口森ノ上５０８−１,37.4550822,139.52386
1,川口郵便局,https://map.japanpost.jp/p/search/dtl/300182053000/?&cond2=1&cond200=1&&his=sa2,968-8799 福島県大沼郡金山町川口森ノ上５０８−１,37.4550822,139.52386
2,中川郵便局,https://map.japanpost.jp/p/search/dtl/300182273000/?&cond2=1&cond200=1&&his=sa2,968-0006 福島県大沼郡金山町中川上居平９６４−２,37.4726331,139.5312178
3,本名簡易郵便局,https://map.japanpost.jp/p/search/dtl/300182720000/?&cond2=1&cond200=1&&his=sa2,968-0016 福島県大沼郡金山町本名沖ノ原１１７８,37.4441753,139.5000931
4,横田郵便局,https://map.japanpost.jp/p/search/dtl/300182092000/?&cond2=1&cond200=1&&his=sa2,968-0322 福島県大沼郡金山町横田居平６３８−１,37.3942939,139.4444919
