,0,1,2,Latitude,Longitude
0,ニセコ駅前簡易郵便局,https://map.japanpost.jp/p/search/dtl/300190740000/?&cond2=1&cond200=1&&his=sa2,048-1512 北海道虻田郡ニセコ町中央通８８−１,42.8087189,140.6854894
1,ニセコ駅前簡易郵便局,https://map.japanpost.jp/p/search/dtl/300190740000/?&cond2=1&cond200=1&&his=sa2,048-1512 北海道虻田郡ニセコ町中央通８８−１,42.8087189,140.6854894
2,ニセコ元町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300190837000/?&cond2=1&cond200=1&&his=sa2,048-1544 北海道虻田郡ニセコ町元町２１４,42.7966683,140.7094169
3,ニセコ郵便局,https://map.japanpost.jp/p/search/dtl/300190083000/?&cond2=1&cond200=1&&his=sa2,048-1599 北海道虻田郡ニセコ町本通１０３−１,42.8039242,140.6862486
