,0,1,2,Latitude,Longitude
0,厚岸郵便局,https://map.japanpost.jp/p/search/dtl/300192016000/?&cond2=1&cond200=1&&his=sa2,088-1199 北海道厚岸郡厚岸町港町２−１３９,43.0514958,144.8498433
1,厚岸郵便局,https://map.japanpost.jp/p/search/dtl/300192016000/?&cond2=1&cond200=1&&his=sa2,088-1199 北海道厚岸郡厚岸町港町２−１３９,43.0514958,144.8498433
2,糸魚沢簡易郵便局,https://map.japanpost.jp/p/search/dtl/300192727000/?&cond2=1&cond200=1&&his=sa2,088-1101 北海道厚岸郡厚岸町糸魚沢５３,43.1045144,144.9296222
3,尾幌郵便局,https://map.japanpost.jp/p/search/dtl/300192013000/?&cond2=1&cond200=1&&his=sa2,088-0899 北海道厚岸郡厚岸町尾幌２５３,43.0148389,144.703195
4,上尾幌郵便局,https://map.japanpost.jp/p/search/dtl/300192026000/?&cond2=1&cond200=1&&his=sa2,088-0771 北海道厚岸郡厚岸町上尾幌５２,43.0322597,144.6129514
5,釧路太田郵便局,https://map.japanpost.jp/p/search/dtl/300192004000/?&cond2=1&cond200=1&&his=sa2,088-1132 北海道厚岸郡厚岸町太田東６,43.0886981,144.7989822
6,床潭郵便局,https://map.japanpost.jp/p/search/dtl/300192018000/?&cond2=1&cond200=1&&his=sa2,088-1107 北海道厚岸郡厚岸町床潭１３８,42.9997336,144.8692933
7,本厚岸郵便局,https://map.japanpost.jp/p/search/dtl/300192001000/?&cond2=1&cond200=1&&his=sa2,088-1116 北海道厚岸郡厚岸町松葉３−１０５,43.0415108,144.8486494
8,門静簡易郵便局,https://map.japanpost.jp/p/search/dtl/300192705000/?&cond2=1&cond200=1&&his=sa2,088-1126 北海道厚岸郡厚岸町門静２−６２,43.0570792,144.7889378
