,0,1,2,Latitude,Longitude
0,江別郵便局,https://map.japanpost.jp/p/search/dtl/300190010000/?&cond2=1&cond200=1&&his=sa2,067-8799 北海道江別市王子１６−１５,43.1141156,141.553145
1,江別郵便局,https://map.japanpost.jp/p/search/dtl/300190010000/?&cond2=1&cond200=1&&his=sa2,067-8799 北海道江別市王子１６−１５,43.1141156,141.553145
2,野幌郵便局,https://map.japanpost.jp/p/search/dtl/300190076000/?&cond2=1&cond200=1&&his=sa2,069-8799 北海道江別市野幌町６８−５,43.0917731,141.5222683
3,江別あけぼの簡易郵便局,https://map.japanpost.jp/p/search/dtl/300190806000/?&cond2=1&cond200=1&&his=sa2,067-0025 北海道江別市あけぼの町31−４,43.1031706,141.5781219
4,江別大麻西郵便局,https://map.japanpost.jp/p/search/dtl/300190416000/?&cond2=1&cond200=1&&his=sa2,069-0846 北海道江別市大麻桜木町２６−１,43.0705678,141.4830764
5,江別大麻東町郵便局,https://map.japanpost.jp/p/search/dtl/300190391000/?&cond2=1&cond200=1&&his=sa2,069-0852 北海道江別市大麻東町１４−１１,43.0809286,141.5006933
6,江別大麻郵便局,https://map.japanpost.jp/p/search/dtl/300190387000/?&cond2=1&cond200=1&&his=sa2,069-0854 北海道江別市大麻中町２−４８,43.0749431,141.4924561
7,江別工業団地簡易郵便局,https://map.japanpost.jp/p/search/dtl/300190818000/?&cond2=1&cond200=1&&his=sa2,067-0051 北海道江別市工栄町１５−１,43.1216578,141.5160064
8,江別西郵便局,https://map.japanpost.jp/p/search/dtl/300190294000/?&cond2=1&cond200=1&&his=sa2,067-0031 北海道江別市元町３４−９,43.1066297,141.5386578
9,江別文京台郵便局,https://map.japanpost.jp/p/search/dtl/300190477000/?&cond2=1&cond200=1&&his=sa2,069-0833 北海道江別市文京台３０−１５,43.0661717,141.4900564
10,江別見晴台郵便局,https://map.japanpost.jp/p/search/dtl/300190528000/?&cond2=1&cond200=1&&his=sa2,067-0032 北海道江別市元江別８７３−１２,43.1145369,141.5224944
11,江別若草郵便局,https://map.japanpost.jp/p/search/dtl/300190467000/?&cond2=1&cond200=1&&his=sa2,067-0004 北海道江別市若草町１１−７,43.1102047,141.5419133
12,上江別簡易郵便局,https://map.japanpost.jp/p/search/dtl/300190785000/?&cond2=1&cond200=1&&his=sa2,067-0062 北海道江別市上江別南町１−３,43.1066608,141.5560428
13,野幌駅前郵便局,https://map.japanpost.jp/p/search/dtl/300190381000/?&cond2=1&cond200=1&&his=sa2,069-0813 北海道江別市野幌町３７−７,43.0937147,141.5288878
14,野幌錦町郵便局,https://map.japanpost.jp/p/search/dtl/300190540000/?&cond2=1&cond200=1&&his=sa2,069-0811 北海道江別市錦町４２−５,43.1029267,141.5249561
15,野幌若葉郵便局,https://map.japanpost.jp/p/search/dtl/300190495000/?&cond2=1&cond200=1&&his=sa2,069-0831 北海道江別市野幌若葉町３９−９,43.0841433,141.5316411
16,東野幌簡易郵便局,https://map.japanpost.jp/p/search/dtl/300190765000/?&cond2=1&cond200=1&&his=sa2,069-0821 北海道江別市東野幌町３９−１,43.0927956,141.5385867
