,0,1,2,Latitude,Longitude
0,喰丸郵便局,https://map.japanpost.jp/p/search/dtl/300182127000/?&cond2=1&cond200=1&&his=sa2,968-0299 福島県大沼郡昭和村佐倉三百苅４６６,37.3240422,139.6313908
1,喰丸郵便局,https://map.japanpost.jp/p/search/dtl/300182127000/?&cond2=1&cond200=1&&his=sa2,968-0299 福島県大沼郡昭和村佐倉三百苅４６６,37.3240422,139.6313908
2,昭和簡易郵便局,https://map.japanpost.jp/p/search/dtl/300182855000/?&cond2=1&cond200=1&&his=sa2,968-0103 福島県大沼郡昭和村下中津川沖３７５−１,37.3336214,139.6115389
3,野尻郵便局,https://map.japanpost.jp/p/search/dtl/300182052000/?&cond2=1&cond200=1&&his=sa2,968-0102 福島県大沼郡昭和村野尻元町４５１６−１,37.3638106,139.5736031
