,0,1,2,Latitude,Longitude
0,板倉郵便局,https://map.japanpost.jp/p/search/dtl/300104029000/?&cond2=1&cond200=1&&his=sa2,374-0132 群馬県邑楽郡板倉町板倉１３１３,36.2206372,139.6162692
1,板倉郵便局,https://map.japanpost.jp/p/search/dtl/300104029000/?&cond2=1&cond200=1&&his=sa2,374-0132 群馬県邑楽郡板倉町板倉１３１３,36.2206372,139.6162692
2,海老瀬簡易郵便局,https://map.japanpost.jp/p/search/dtl/300104828000/?&cond2=1&cond200=1&&his=sa2,374-0111 群馬県邑楽郡板倉町海老瀬８４８０,36.2139767,139.6377981
3,大箇野郵便局,https://map.japanpost.jp/p/search/dtl/300104220000/?&cond2=1&cond200=1&&his=sa2,374-0122 群馬県邑楽郡板倉町大高嶋１７１４−１,36.2055031,139.6187169
4,西谷田郵便局,https://map.japanpost.jp/p/search/dtl/300104219000/?&cond2=1&cond200=1&&his=sa2,374-0101 群馬県邑楽郡板倉町除川３８４−１,36.2608703,139.6220342
