,0,1,2,Latitude,Longitude
0,活汲簡易郵便局,https://map.japanpost.jp/p/search/dtl/300199776000/?&cond2=1&cond200=1&&his=sa2,092-0206 北海道網走郡津別町活汲２９６−２,43.7445636,144.0533528
1,活汲簡易郵便局,https://map.japanpost.jp/p/search/dtl/300199776000/?&cond2=1&cond200=1&&his=sa2,092-0206 北海道網走郡津別町活汲２９６−２,43.7445636,144.0533528
2,北見相生郵便局,https://map.japanpost.jp/p/search/dtl/300199124000/?&cond2=1&cond200=1&&his=sa2,092-0361 北海道網走郡津別町相生１１０−８,43.5419067,143.9835694
3,津別郵便局,https://map.japanpost.jp/p/search/dtl/300199044000/?&cond2=1&cond200=1&&his=sa2,092-0299 北海道網走郡津別町新町１５−４,43.7088981,144.0241492
4,本岐郵便局,https://map.japanpost.jp/p/search/dtl/300199065000/?&cond2=1&cond200=1&&his=sa2,092-0351 北海道網走郡津別町本岐７５−１,43.6485733,143.9883286
