,0,1,2,Latitude,Longitude
0,久保内郵便局,https://map.japanpost.jp/p/search/dtl/300190169000/?&cond2=1&cond200=1&&his=sa2,052-0112 北海道有珠郡壮瞥町久保内１００,42.5783756,140.9554008
1,久保内郵便局,https://map.japanpost.jp/p/search/dtl/300190169000/?&cond2=1&cond200=1&&his=sa2,052-0112 北海道有珠郡壮瞥町久保内１００,42.5783756,140.9554008
2,壮瞥郵便局,https://map.japanpost.jp/p/search/dtl/300190051000/?&cond2=1&cond200=1&&his=sa2,052-0199 北海道有珠郡壮瞥町滝之町４１６−２８,42.5581722,140.8900472
3,仲洞爺簡易郵便局,https://map.japanpost.jp/p/search/dtl/300190706000/?&cond2=1&cond200=1&&his=sa2,052-0105 北海道有珠郡壮瞥町仲洞爺１３,42.6179067,140.9136378
