,0,1,2,Latitude,Longitude
0,吾妻本宿簡易郵便局,https://map.japanpost.jp/p/search/dtl/300104825000/?&cond2=1&cond200=1&&his=sa2,377-0933 群馬県吾妻郡東吾妻町本宿９０,36.5090603,138.7553425
1,吾妻本宿簡易郵便局,https://map.japanpost.jp/p/search/dtl/300104825000/?&cond2=1&cond200=1&&his=sa2,377-0933 群馬県吾妻郡東吾妻町本宿９０,36.5090603,138.7553425
2,厚田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300104832000/?&cond2=1&cond200=1&&his=sa2,377-0812 群馬県吾妻郡東吾妻町厚田７１１−１,36.54368,138.7972622
3,岩下郵便局,https://map.japanpost.jp/p/search/dtl/300104040000/?&cond2=1&cond200=1&&his=sa2,377-0815 群馬県吾妻郡東吾妻町岩下１８５７−６,36.5567722,138.7724239
4,植栗簡易郵便局,https://map.japanpost.jp/p/search/dtl/300104824000/?&cond2=1&cond200=1&&his=sa2,377-0805 群馬県吾妻郡東吾妻町植栗１６０,36.5712997,138.8644431
5,大戸郵便局,https://map.japanpost.jp/p/search/dtl/300104058000/?&cond2=1&cond200=1&&his=sa2,377-0999 群馬県吾妻郡東吾妻町大戸２１１−３,36.5134381,138.7729114
6,箱島郵便局,https://map.japanpost.jp/p/search/dtl/300104068000/?&cond2=1&cond200=1&&his=sa2,377-0399 群馬県吾妻郡東吾妻町箱島甲７９５,36.5444486,138.9288133
7,原町郵便局,https://map.japanpost.jp/p/search/dtl/300104054000/?&cond2=1&cond200=1&&his=sa2,377-0899 群馬県吾妻郡東吾妻町原町４１０,36.5734736,138.8296192
