,0,1,2,Latitude,Longitude
0,いわき郵便局,https://map.japanpost.jp/p/search/dtl/300182004000/?&cond2=1&cond200=1&&his=sa2,970-8799 福島県いわき市平正月町４９−１,37.0555694,140.9008078
1,いわき郵便局,https://map.japanpost.jp/p/search/dtl/300182004000/?&cond2=1&cond200=1&&his=sa2,970-8799 福島県いわき市平正月町４９−１,37.0555694,140.9008078
2,植田郵便局,https://map.japanpost.jp/p/search/dtl/300182072000/?&cond2=1&cond200=1&&his=sa2,974-8799 福島県いわき市植田町本町１−６−８,36.9163403,140.7957944
3,小名浜郵便局,https://map.japanpost.jp/p/search/dtl/300182018000/?&cond2=1&cond200=1&&his=sa2,971-8799 福島県いわき市小名浜定西４７−２,36.9502142,140.8985397
4,赤井郵便局,https://map.japanpost.jp/p/search/dtl/300182261000/?&cond2=1&cond200=1&&his=sa2,979-3131 福島県いわき市平赤井田町２４−６,37.0859694,140.8642275
5,東田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300182828000/?&cond2=1&cond200=1&&his=sa2,974-8212 福島県いわき市東田町１−２７−９,36.9228342,140.7994989
6,泉玉露郵便局,https://map.japanpost.jp/p/search/dtl/300182387000/?&cond2=1&cond200=1&&his=sa2,971-8172 福島県いわき市泉玉露３−３−１１,36.9581461,140.8541211
7,入遠野郵便局,https://map.japanpost.jp/p/search/dtl/300182263000/?&cond2=1&cond200=1&&his=sa2,972-0251 福島県いわき市遠野町入遠野前田１６２,37.0370386,140.7071361
8,いわき泉郵便局,https://map.japanpost.jp/p/search/dtl/300182067000/?&cond2=1&cond200=1&&his=sa2,971-8185 福島県いわき市泉町４−１６−１３,36.9526011,140.8544017
9,いわき鹿島郵便局,https://map.japanpost.jp/p/search/dtl/300182265000/?&cond2=1&cond200=1&&his=sa2,971-8141 福島県いわき市鹿島町走熊小神山６３−１,36.9949672,140.9083683
10,いわき金山郵便局,https://map.japanpost.jp/p/search/dtl/300182418000/?&cond2=1&cond200=1&&his=sa2,974-8211 福島県いわき市金山町東台４５−１,36.9274336,140.8220581
11,いわき川部郵便局,https://map.japanpost.jp/p/search/dtl/300182259000/?&cond2=1&cond200=1&&his=sa2,979-0153 福島県いわき市川部町橋本８２,36.9056064,140.7336875
12,磐城新地郵便局,https://map.japanpost.jp/p/search/dtl/300182412000/?&cond2=1&cond200=1&&his=sa2,971-8166 福島県いわき市小名浜愛宕上１３−６,36.9536575,140.8932156
13,いわき自由ケ丘郵便局,https://map.japanpost.jp/p/search/dtl/300182463000/?&cond2=1&cond200=1&&his=sa2,970-8033 福島県いわき市自由ケ丘１４−５,37.0300289,140.8921978
14,いわき中央台郵便局,https://map.japanpost.jp/p/search/dtl/300182442000/?&cond2=1&cond200=1&&his=sa2,970-8044 福島県いわき市中央台飯野４−１−９,37.0146758,140.9191456
15,石城夏井郵便局,https://map.japanpost.jp/p/search/dtl/300182405000/?&cond2=1&cond200=1&&his=sa2,970-0106 福島県いわき市平山崎熊ノ宮５０−４,37.0558239,140.9395361
16,石城山田郵便局,https://map.japanpost.jp/p/search/dtl/300182346000/?&cond2=1&cond200=1&&his=sa2,974-8251 福島県いわき市中岡町３−１−１０,36.9247944,140.7818206
17,磐崎郵便局,https://map.japanpost.jp/p/search/dtl/300182219000/?&cond2=1&cond200=1&&his=sa2,972-8317 福島県いわき市常磐下湯長谷町岩崎３１,36.9898461,140.8540747
18,内郷高坂町郵便局,https://map.japanpost.jp/p/search/dtl/300182399000/?&cond2=1&cond200=1&&his=sa2,973-8408 福島県いわき市内郷高坂町立野９５−９,37.0435981,140.8516306
19,内郷御厩郵便局,https://map.japanpost.jp/p/search/dtl/300182388000/?&cond2=1&cond200=1&&his=sa2,973-8402 福島県いわき市内郷御厩町２−５１,37.0477006,140.8687539
